                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.031,                 1.3683,                 1.0881,                0.96615,                0.96063,                0.98765,                0.77342,                0.77861,                0.78743,                0.97206,             0.00066129,             0.00066129,             0.00066129
                      2,                0.89322,                0.74004,                  1.014,                0.95859,                0.95517,                0.98416,                0.77106,                0.78042,                0.69491,                0.95667,              0.0013017,              0.0013017,              0.0013017
                      3,                0.87452,                0.66703,                0.99906,                0.95389,                0.95874,                0.98316,                0.77969,                0.75302,                0.60206,                0.94835,              0.0019156,              0.0019156,              0.0019156
                      4,                0.86289,                0.62173,                0.99624,                0.96122,                0.96883,                0.98557,                 0.7859,                0.71946,                0.50687,                0.94064,              0.0018812,              0.0018812,              0.0018812
                      5,                0.83205,                0.58515,                0.98498,                0.96134,                0.98046,                0.98986,                0.78689,                0.73249,                0.47897,                0.94084,              0.0018416,              0.0018416,              0.0018416
                      6,                0.82716,                0.56051,                0.98054,                0.97169,                0.96889,                0.98413,                0.80687,                0.65342,                0.43944,                0.91482,               0.001802,               0.001802,               0.001802
                      7,                0.79066,                0.52307,                0.96196,                 0.9718,                 0.9468,                0.98801,                0.81789,                0.66171,                  0.435,                0.90749,              0.0017624,              0.0017624,              0.0017624
                      8,                0.77371,                0.50857,                0.96455,                0.98795,                0.97921,                0.99397,                0.83677,                0.61846,                0.42045,                0.88867,              0.0017228,              0.0017228,              0.0017228
                      9,                0.75581,                0.49248,                0.95798,                0.98491,                0.98697,                0.99397,                0.84794,                 0.6281,                0.38256,                0.88941,              0.0016832,              0.0016832,              0.0016832
                     10,                0.75687,                0.48109,                0.95636,                0.98217,                 0.9848,                0.99388,                0.83505,                0.62178,                0.38415,                0.89392,              0.0016436,              0.0016436,              0.0016436
                     11,                 0.7363,                0.47014,                0.94922,                0.98234,                 0.9848,                0.99229,                0.85465,                0.57815,                0.35191,                0.87308,               0.001604,               0.001604,               0.001604
                     12,                0.72501,                0.47328,                0.94387,                0.99179,                0.97937,                0.99386,                0.85635,                0.58368,                0.34752,                 0.8797,              0.0015644,              0.0015644,              0.0015644
                     13,                0.71308,                0.45577,                0.94341,                0.97527,                0.98468,                0.99313,                0.86348,                0.56309,                 0.3837,                0.87342,              0.0015248,              0.0015248,              0.0015248
                     14,                0.71643,                0.44498,                0.94016,                 0.9824,                0.98154,                0.99337,                0.85682,                0.57208,                0.35682,                0.87709,              0.0014852,              0.0014852,              0.0014852
                     15,                0.71723,                 0.4415,                0.94139,                0.98975,                0.98371,                0.99369,                0.85883,                0.56418,                 0.3493,                0.87052,              0.0014456,              0.0014456,              0.0014456
                     16,                0.70238,                 0.4315,                  0.941,                0.99014,                0.98806,                 0.9947,                0.87266,                0.57415,                0.31568,                0.86993,               0.001406,               0.001406,               0.001406
                     17,                0.68895,                0.42209,                0.93187,                0.98825,                0.98697,                 0.9936,                0.85565,                0.57932,                0.33565,                0.87121,              0.0013664,              0.0013664,              0.0013664
                     18,                0.68885,                0.41306,                0.93305,                 0.9935,                0.98697,                0.99436,                0.87098,                0.56064,                0.31757,                 0.8684,              0.0013268,              0.0013268,              0.0013268
                     19,                0.68504,                0.41376,                0.93245,                0.98358,                 0.9924,                0.99466,                0.87996,                0.53052,                0.30591,                0.86091,              0.0012872,              0.0012872,              0.0012872
                     20,                0.67858,                0.41111,                0.92539,                0.98979,                0.98806,                0.99438,                0.87056,                0.53901,                0.31882,                0.86383,              0.0012476,              0.0012476,              0.0012476
                     21,                0.67773,                 0.4104,                0.93283,                0.98806,                0.98828,                0.99435,                0.87581,                0.52763,                0.31463,                0.85832,               0.001208,               0.001208,               0.001208
                     22,                0.66764,                0.40045,                0.92664,                0.98802,                0.98511,                 0.9945,                0.88745,                0.51276,                 0.3002,                0.85375,              0.0011684,              0.0011684,              0.0011684
                     23,                0.66674,                0.39837,                 0.9195,                0.98657,                0.98154,                0.99372,                0.87642,                0.53747,                0.31941,                0.86531,              0.0011288,              0.0011288,              0.0011288
                     24,                0.65903,                0.39013,                0.91922,                 0.9849,                0.99169,                0.99414,                0.88629,                0.51239,                0.30258,                0.85682,              0.0010892,              0.0010892,              0.0010892
                     25,                0.65947,                0.39018,                0.92028,                0.98588,                0.98586,                0.99441,                0.88386,                0.52229,                0.30127,                0.85969,              0.0010496,              0.0010496,              0.0010496
                     26,                0.65674,                0.38859,                0.92049,                0.98494,                0.99437,                0.99406,                0.89244,                 0.5009,                0.29133,                0.85212,                0.00101,                0.00101,                0.00101
                     27,                 0.6493,                0.37903,                0.92112,                0.98881,                0.98806,                0.99438,                0.89448,                0.49595,                0.28614,                0.84984,              0.0009704,              0.0009704,              0.0009704
                     28,                0.64546,                0.37954,                0.91847,                0.98915,                0.98997,                0.99472,                0.89723,                0.50175,                0.28499,                0.85555,              0.0009308,              0.0009308,              0.0009308
                     29,                0.63636,                0.37167,                0.91375,                0.99058,                0.98914,                0.99448,                 0.8957,                0.50485,                 0.2856,                0.85558,              0.0008912,              0.0008912,              0.0008912
                     30,                0.64575,                0.37671,                0.91771,                0.98836,                0.99131,                0.99423,                0.89563,                0.49611,                0.27792,                 0.8516,              0.0008516,              0.0008516,              0.0008516
                     31,                0.62793,                0.37197,                0.91446,                 0.9846,                0.98914,                0.99423,                0.90008,                0.48327,                0.28088,                0.85268,               0.000812,               0.000812,               0.000812
                     32,                0.61999,                0.36439,                0.90794,                0.98784,                0.98697,                0.99447,                0.89678,                0.49029,                0.27539,                0.84937,              0.0007724,              0.0007724,              0.0007724
                     33,                0.61927,                0.35762,                0.91143,                0.98383,                0.99076,                 0.9941,                0.89952,                0.49288,                0.27755,                0.84769,              0.0007328,              0.0007328,              0.0007328
                     34,                 0.6132,                0.35365,                 0.9063,                0.99133,                 0.9928,                0.99445,                0.89291,                0.49747,                0.26521,                0.85018,              0.0006932,              0.0006932,              0.0006932
                     35,                0.61344,                0.34857,                0.90666,                0.99181,                0.99131,                0.99438,                0.90081,                0.48267,                0.26743,                0.85104,              0.0006536,              0.0006536,              0.0006536
